Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
The Flight of Icarus,Raymond Queneau,Fiction,"The Flight of Icarus is Raymond Queneau's only novel written in the form of a play: seventy-four short scenes, complete with stage directions. Consciously parodying Pirandello and Robbe-Grillet, it begins with a novelist's discovery that his principal character, Icarus by name, has vanished. This in turn, sets off a rash of other such disappearances.",1973,4.01,191,<201
The Footprints of God,Greg Iles,Fiction,"Resisting those who would use a revolutionary new technology for unethical purposes, doctor David Tennant and psychiatrist Rachel Weiss find themselves running for their lives from a ruthless team of NSA agents and turning to David's unusual dreams for guidance. Reprint.",2004,3.77,528,401 - 600
The Forbidden,L. A. Banks,Fiction,"Damali and her fellow members of the Guardian squad confront their ultimate nemesis in the evil persona of Lilith, the consort of the Un-Named One, who has been summoned from the seventh level to open the portals of Hell and destroy Damali and her associates. Reprint.",2006,4.27,490,401 - 600
The Forest House,Marion Zimmer Bradley,Fiction,"In a tale set in Druidic England, Eilan feels torn between her love for a young Roman soldier and her inner need to become a priestess for her Goddess",1995,3.86,462,401 - 600
The Forever War,Joe Haldeman,Fiction,"Drafted into the ranks of Earth's interstellar warriors, private William Mandella finds his fight against the Taurans secondary to the side-effects of faster-than-light space travel, which affects the rate at which he ages. Winner of the Hugo and Nebula Awards. Reprint. 25,000 first printing.",2003,4.15,278,201 - 400
The Forsaken,L. A. Banks,Fiction,"With the death of the Chairman of the Vampire Council and the rise of the seventh level of Hell, Damali is confronted by her ultimate challenge, a once banished entity with the power to stop a Neteru. Original. 35,000 first printing.",2006,4.35,448,401 - 600
The Foundling,Georgette Heyer,Fiction,The second of six special Georgette Heyer Collector Editions offered by Harlequin throughout 2003 features this hard-to-find Regency romance and a special Foreword by Kay Hooper. Reissue.,2003,3.85,406,401 - 600
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,A portrait of America as seen through the eyes of its new arrivals follows the story of an intensely feminine Cuban-Irish family of fourteen daughters and its one doggedly masculine son,1996,3.69,496,401 - 600
The Fourth Book of Lost Swords,Fred Saberhagen,Fiction,"Black Pearl, a mermaid, Cosmos, her treacherous lover, Prince Zoltan and Prince Mark, the evil macrowizard Wood, and a griffin-riding beauty all compete for possession of the sword, Farslayer",1990,3.83,252,201 - 400
The Fourth Hand,John Irving,Fiction,"When a New York journalist suffers a horrible accident--his left hand eaten by a lion while reporting on a story from India--witnessed by millions on television, viewers rally to help him.",2003,3.31,368,201 - 400
The Franklin Affair,Jim Lehrer,Fiction,"Following the death of his longtime mentor, a young historian's peaceful and orderly life is undermined by personal and professional crises when he receives a letter dating back to the Revolutionary War that reveals a scandal that could alter forever American history and joins a committee investigating plagiarism charges against a female biographer who will do anything to stop them. Reprint. 30,000 first printing.",2006,3.12,208,201 - 400
The Free Bards,Lackey,Fiction,"Comines the stories of Rune, the greatest violinist who played the Ghost of Skull Hill to sleep; Robin who must recruit the Ghost to aid their cause; and Nightingale who joins forces with T'fyrr, a nonhuman with the face of a raptor",1997,4.18,712,601 - 800
The Frequencies,Noah Eli Gordon,Poetry,"Poetry. ""Noah Eli Gordon can spin, scratch, sample, and dub to mix a sound all his own. THE FREQUENCIES tunes in desire, poetry, static, and laughter - all the while broadcasting with the intensity and joy of first things""--Peter Gizzi. ""This is the new music - listen to it""--Lisa Jarnot.",2003,4.32,81,<201
The Fuck Up,Arthur Nersesian,Fiction,"A dark comedy of urban life features an aspiring, but incompetent, writer, who is dumped by his girlfriend, fired for asking for a raise, and stumbles into a robbery",1999,3.57,304,201 - 400
The Function of Criticism,Terry Eagleton,Philosophy,"A history and critique of the last 200 years of cultural criticism, form Addison and Steele to Barthes and Derrida, by Britain's most stylish critic.",2005,3.65,138,<201
The Gabriel Hounds,Mary Stewart,Fiction,"It's all a grand adventure when Christy Mansel unexpectedly runs into her cousin Charles in Damascus. And being young, rich, impetuous, and used to doing whatever they please, they decide to barge in uninvited on their eccentric Great-Aunt Harriet—despite a long-standing family rule strictly forbidding unannounced visits. A strange new world awaits Charles and Christy beyond the gates of Dar Ibrahim—""Lady Harriet's"" ancient, crumbling palace in High Lebanon—where a physician is always in residence and a handful of Arab servants attends to the odd old woman's every need. But there is a very good—very sinister—reason why guests are not welcome at Dar Ibrahim. And the young cousins are about to discover that, as difficult as it is to break into the dark, imposing edifice, it may prove even harder still to escape . . .",2006,3.91,322,201 - 400
The Garden of Eden,Ernest Hemingway,Classics,"A sensational bestseller when it appeared in 1986, The Garden of Eden is the last uncompleted novel of Ernest Hemingway, which he worked on intermittently from 1946 until his death in 1961. Set on the Côte d'Azur in the 1920s, it is the story of a young American writer, David Bourne, his glamorous wife, Catherine, and the dangerous, erotic game they play when they fall in love with the same woman. ""A lean, sensuous narrative...taut, chic, and strangely contemporary,"" The Garden of Eden represents vintage Hemingway, the master ""doing what nobody did better"" (R. Z. Sheppard, Time).",1995,3.73,248,201 - 400
The Gate of Fire,Thomas Harlan,Fiction,"A sequel to The Shadow of Ararat finds Prince Maxian, having raised both Julius Caesar and Alexander the Great from the dead, considering how to use them to free Rome from the curse of the Oath; while the new Palmyra queen Zoe vows revenge. Reprint.",2001,3.58,721,601 - 800
The General in His Labyrinth,Gabriel Garcia Marquez,Classics,"Old and ill, General Simon Bolivar reexamines his life--reliving his campaigns, recalling his romances, and revealing himself as a lover, libertine, and fighter--during a seven-month voyage down the Magdalena River.",2004,3.68,248,201 - 400
The Ghost in the Machine,Arthur Koestler,Philosophy,"An examination of the human impulse towards self-destruction suggests that in the course of human evolution, a pathological split between emotion and reason developed",1990,4.01,400,201 - 400
The Ghost Map,Steven Johnson,History,"A historical chronicle of Victorian London's worst cholera outbreak traces the day-by-day efforts of Dr. John Snow, who put his own life on the line in his efforts to prove his previously dismissed contagion theory about how the epidemic was spreading. 80,000 first printing.",2006,3.91,299,201 - 400
The Gift of the Magi and Other Short Stories,O. Henry,Short Stories,"Presents sixteen short fiction stories by nineteenth-century American author O. Henry, including the title work about the Christmas sacrifices of a young married couple.",1992,4.14,96,<201
The Gilded Web,Mary Balogh,Fiction,"Fleeing the heat and crowds of a London ballroom, innocent Alexandra Purnell seeks refuge outside, only to be whisked away by Edmond, Earl of Amberley, who rescues her from certain scandal by offering her marriage. Reprint.",2006,3.58,480,401 - 600
The Girl in the Glass,Jeffrey Ford,Fiction,"The Great Depression has bound a nation in despair -- and only a privileged few have risen above it: the exorbitantly wealthy ... and the hucksters who feed upon them. Diego, a seventeen-year-old illegal Mexican immigrant, owes his salvation to master grifter Thomas Schell. Together with Schell's gruff and powerful partner, they sail comfortably through hard times, scamming New York's grieving rich with elaborate, ingeniously staged séances -- until an impossible occurrence changes everything. While ""communing with spirits,"" Schell sees an image of a young girl in a pane of glass, silently entreating the con man for help. Though well aware that his otherworldly ""powers"" are a sham, Schell inexplicably offers his services to help find the lost child -- drawing Diego along with him into a tangled maze of deadly secrets and terrible experimentation. At once a hypnotically compelling mystery and a stunningly evocative portrait of Depression-era New York, The Girl in the Glass is a masterly literary adventure from a writer of exemplary vision and skill.",2005,3.72,304,201 - 400
The Girl Who Loved Tom Gordon,Stephen King,Fiction,"The acclaimed #1 New York Times and undisputed King of Horror Stephen King offers a frightening suspense novel about a young girl who becomes lost in the woods as night falls. On a six-mile hike on the Maine-New Hampshire branch of the Appalachian Trail, nine-year-old Trisha McFarland quickly tires of the constant bickering between her older brother, Pete, and her recently divorced mother. But when she wanders off by herself, and then tries to catch up by attempting a shortcut, she becomes lost in a wilderness maze full of peril and terror. As night falls, Trisha has only her ingenuity as a defense against the elements, and only her courage and faith to withstand her mounting fears. For solace she tunes her Walkman to broadcasts of Boston Red Sox baseball games and follows the gritty performances of her hero, relief pitcher Tom Gordon. And when her radio’s reception begins to fade, Trisha imagines that Tom Gordon is with her—protecting her from an all-too-real enemy who has left a trail of slaughtered animals and mangled trees in the dense, dark woods…",1999,3.58,264,201 - 400
The Glass Bead Game,Hermann Hesse,Classics,"The final novel of Hermann Hesse, for which he won the Nobel Prize for Literature in 1946, The Glass Bead Game is a fascinating tale of the complexity of modern life as well as a classic of modern literature Set in the 23rd century, The Glass Bead Game is the story of Joseph Knecht, who has been raised in Castalia, the remote place his society has provided for the intellectual elite to grow and flourish. Since childhood, Knecht has been consumed with mastering the Glass Bead Game, which requires a synthesis of aesthetics and scientific arts, such as mathematics, music, logic, and philosophy, which he achieves in adulthood, becoming a Magister Ludi (Master of the Game).",2002,4.11,558,401 - 600
The Glass Castle,Jeannette Walls,Literary Fiction,"In the tradition of Mary Karr's ""The Liars' Club"" and Rick Bragg's ""All Over But the Shouting,"" Walls has written a stunning and life-affirming memoir about surviving a willfully impoverished, eccentric, and severely misguided family.",2006,4.26,288,201 - 400
The Glory and the Dream,William Manchester,History,"Explore's American history from the Great Depression, through two World Wars and Korea to the anti-war protests of Vietnam",1990,4.42,1397,1000 +
The God in the Moon,Richard A. Knaak,Fiction,"Nermesa Klandes joins the Aquilonian army in hopes of serving his liege, King Conan, until he becomes a hero in his own right after killing a Pictish leader, but his victory is short-lived when he unwittingly unleashes an unholy force that could destroy the Aquilonian Empire. Original.",2006,3.72,297,201 - 400
The God of Small Things,Arundhati Roy,Literary Fiction,"A debut novel of dark foreboding and family tragedy that won the prestigious Booker Prize traces the decline of one family in Southern India in the late sixties, which begins with an episode of forbidden love. Reprint. Tour.",1998,3.93,321,201 - 400
The Godfather,Mario Puzo,Fiction,"A portrait of a Mafia family focuses on the life and times of patriarch Don Vito Corleone, a Sicilian-American godfather, and his sons.",2005,4.37,448,401 - 600
The Golden Tulip,Rosalind Laker,Fiction,"Determined to become a painter, Francesca Visser's dream is shattered when her father--a struggling artist--arranges a marriage between her and Ludolf Van Deventer, a wealthy shipbroker, in order to pay back a debt",1991,3.92,585,401 - 600
The Good Earth,Pearl S. Buck,Fiction,A Chinese peasant overcomes the forces of nature and the frailties of human nature to become a wealthy landowner.,2004,3.98,357,201 - 400
The Good Earth,Pearl S. Buck,Fiction,A Chinese peasant overcomes the forces of nature and the frailties of human nature to become a wealthy landowner.,2005,3.98,418,401 - 600
The Good Fairies of New York,Martin Millar,Fiction,"Finding themselves in the very unusual world of Manhattan, a pair of Scottish thimble fairies apply their folk wisdom to assist a pair of down-and-out humans, including Kerry, who struggles with a colostomy bag, and Dinnie, who exhibits anti-social behaviors. Original.",2006,3.51,242,201 - 400
The Good House,Tananarive Due,Fiction,Award-winning author Tananarive Due's spine-wingling tale of supernatural suspense 'waves a stronger net than ever' (Kirkus Reviews) as a woman searches for the inherited power that can save her hometown from the forces of evil.,2006,3.93,597,401 - 600
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,"It's a tough life for witch Rachel Morgan, sexy, independent bounty hunter, prowling the darkest shadows of downtown Cincinnati for criminal creatures of the night. She can handle the leather-clad vamps and even tangle with a cunning demon or two. But a serial killer who feeds on the experts in the most dangerous kind of black magic is definitely pressing the limits. Confronting an ancient, implacable evil is more than just child's play -- and this time, Rachel will be lucky to escape with her very soul.",2005,4.26,453,401 - 600
The Governess,Sarah Fielding,Fiction,"Published in 1749, the story of Mrs. Teachum and the nine pupils who make up her “little female academy” is widely recognized as the first full-length novel for children, and the first to be aimed specifically at girls. The daily experiences of Mrs. Teachum’s charges are interwoven with fables and fairy tales illustrating the book’s underlying principles, which draw on contemporary theories of education and virtue. As central to the history of the novel as it is to the development of children’s literature, The Governess is a pioneering work by one of the eighteenth century’s most respected women writers. This Broadview edition includes a critical introduction that places The Governess in its cultural and literary context; appendices include examples of eighteenth-century educational literature and selections from Fielding’s correspondence.",2005,2.62,242,201 - 400
The Grail,Brian Doyle,Cooking,Follows the year the author spent at Don and Jesse Lange's winery in Oregon.,2006,3.97,208,201 - 400
The Gramsci Reader,Antonio Gramsci,Philosophy,"with a new introduction by ERIC J. HOBSBAWM ""Very usefully pulls the key passages from Gramsci's writings into one volume, which allows English-language readers an overall view of his work. Particularly valuable are the connections it draws across his work and the insights which the introduction and glossary provide into the origin and development of some key Gramscian concepts."" --Stuart Hall, Professor of Sociology, Open University The most complete one-volume collection of writings by one of the most fascinating thinkers in the history of Marxism, The Antonio Gramsci Reader fills the need for a broad and general introduction to this major figure. Antonio Gramsci was one of the most important theorists of class, culture, and the state since Karl Marx. In the U.S., where his writings were long unavailable, his stature has lately so increased that every serious student of Marxism, political theory, or modern Italian history must now read him. Imprisoned by the Fascists for much of his adult life, Gramsci wrote brilliantly on a broad range of subjects: from folklore to philosophy, popular culture to political strategy. Still the most comprehensive collection of Gramsci's writings available in English, it now features a new introduction by leading Marxist historian Eric Hobsbawm, in addition to its biographical introduction, informative introductions to each section, and glossary of key terms.",2000,4.28,447,401 - 600
The Grapes of Wrath,John Steinbeck,Classics,STEINBECK/GRAPES OF WRATH (BC),1939,3.95,464,401 - 600
The Grass Crown,Colleen McCullough,Fiction,The lives of ancient Rome's men--general Gaius Marius and his rival Lucius Cornelius Sulla--unfold amid Republican Rome's struggle in a world of treachery and barbarism,1992,4.29,1104,1000 +
The Grass Dancer,Susan Power,Fiction,"From the 1860s, when two lovers are separated by death, the cosmic drama of the two spirits desperately seeking to be reunited molds the lives and fates of their descendants, in a novel shaped by the lore of the Sioux. Reissue.",1997,3.96,352,201 - 400
The grass harp,Truman Capote,Classics,The protagonists of these nine short stories learn to accept the harsh loneliness of life,1993,4.01,272,201 - 400
The Great American Novel,Philip Roth,Literary Fiction,A baseball farce in which Philip Roth casts an unlikely group of men as the country's baseball heroes.,1973,3.64,416,401 - 600
The Great and Secret Show,Chris Ryall,Comics & Graphic Novels,The beginning of a battle between good and evil that will span many decades and different dimensions is presented in the first volume of an adaptation of horror master Clive Barker's epic journey into the fantastic.,2006,4.22,136,<201
The Great Book of Amber,Roger Zelazny,Fiction,"Roger Zelazny's Chronicles of Amber have earned their place as all-time classics of imaginative literature. Now here are all ten novels, together in one magnificent omnibus volume. Witness the titanic battle for supremacy waged on Earth, in the Courts of Chaos, and on a magical world of mystery, adventure, and romance.",1999,4.3,1258,1000 +
The Great Gatsby,F. Scott Fitzgerald,Classics,"Tells the story of a young man, newly rich, who tries to recapture the past and win back his former love, despite the fact that she has married",1925,3.91,182,<201
The Great Shark Hunt,Hunter S. Thompson,Literary Fiction,"Brings together a selection of the legendary American journalist's articles on subjects ranging from the Super Bowl to Watergate, from Hemingway to Brando, and from sharks to drugs.",2003,4.08,624,601 - 800
The Greenlanders,Jane Smiley,Fiction,"In fourteenth-century Greenland, a small Norse settlement struggles for survival through increasingly harsh winters, famine, witchcraft, and a tragic feud between the family of Asgeir Gunnarsson and one of his neighbors. Reprint.",2005,3.89,608,601 - 800
The Grotesque,Patrick McGrath,Fiction,"A paralyzed Sir Hugo Coal chips away at the mystery of the murder of his daughter's fiance+a7, weighing the possible motives of those who share his manor, including his enigmatic butler, Fledge. Reprint. Movie tie-in.",1996,3.63,178,<201
The Guardian,Nicholas Sparks,Fiction,"Julie Barenson's young husband left her two unexpected gifts before he died - a Great Dane puppy named Singer and the promise that he would always be watching over her. Now four years have passed. Still living in the small town of Swansboro, North Carolina, twenty-nine-year-old Julie is emotionally ready to make a commitment to someone again. But who? Should it be Richard Franklin, the handsome, sophisticated engineer who treats her like a queen? Or Mike Harris, the down-to-earth nice guy who was her husband's best friend? Choosing one of them should bring her more happiness than she's had in years. Instead, Julie is soon fighting for her life in a nightmare spawned by a chilling deception and jealousy so poisonous that it has become a murderous desire...",2005,4.15,400,201 - 400
The Gun Seller,Hugh Laurie,Fiction,"A spoof of the spy genre set in Britain features a drifter who orchestrates a magnificent caper involving the CIA, international terrorists, arms dealers, a high-speed chase on skis, and buxom, blonde beauties.",1998,3.68,340,201 - 400
The Guns of August,Barbara Wertheim Tuchman,History,"A definitive Pulitzer Prize-winning recreation of the powderkeg that was Europe during the crucial first thirty days of World War I traces the actions of statesmen and patriots alike in Berlin, London, St. Petersburg, and Paris. Reprint.",2004,4.18,606,601 - 800
The Gunslinger,Stephen King,Fiction,"Roland, the world's last gunslinger, tracks an enigmatic Man in Black toward a forbidding dark tower, fighting forces both mortal and other-worldly on his quest. Reissue.",1982,3.96,315,201 - 400
The Guy Not Taken,Jennifer Weiner,Fiction,"From the bestselling author of ""Good in Bed"" comes a new collection of stories.",2006,3.48,292,201 - 400
The Hamlet,William Faulkner,Classics,"Traces the growing power of Flem Snopes, a white-trash farmer, in the Mississippi town of Frenchman's Bend",1991,3.87,409,401 - 600
The Hand of Chaos,Margaret Weis,Fiction,"Henry is generally well-behaved, but he is occasionally arrogant and vain. Henry is at heart a hard worker, but his frequent bouts of illness hinder his work.",1993,4.06,446,401 - 600
The Handbook (The Encheiridion),Epictetus,Philosophy,"From the Introduction: ""Stoic philosophy, of which Epictetus (c. a.d. 50-130) is a representative, began as a recognizable movement around 300 b.c. Its founder was Zeno of Cytium (not to be confused with Zeno of Elea, who discovered the famous paradoxes). He was born in Cyprus about 336 b.c., but all of his philosophical activity took place in Athens. For more than 500 years Stoicism was one of the most influential and fruitful philosophical movements in the Graeco-Roman world. The works of the earlier Stoics survive only in fragmentary quotations from other authors, but from the Renaissance until well into the nineteenth century, Stoic ethical thought was one of the most important ancient influences on European ethics, particularly because of the descriptions of it by Cicero, through surviving works by the Stoics Seneca, Marcus Aurelius, and also Epictetus--and also because of the effect that it had had in antiquity, and continued to have into the nineteenth century, on Christian ethical views. Nowadays an undergraduate or graduate student learning about ancient philosophy in a university course may well hear only about Plato and Aristotle, along perhaps with the presocratics; but in the history of Western thought and education this situation is somewhat atypical, and in most periods a comparable student would have learned as much or more about Stoicism, as well as two other major ancient philosophical movements, Epicureanism and Scepticism. In spite of this lack of explicit acquaintance with Stoic philosophers and their works, however, most students will recognize in Epictetus various ideas that are familiar through their effects on other thinkers, notably Spinoza, in our intellectual tradition.""",1983,4.22,35,<201
The Handmaid's Tale,Margaret Atwood,Literary Fiction,"A chilling look at the near future presents the story of Offred, a Handmaid in the Republic of Gilead, once the United States, an oppressive world where women are no longer allowed to read and are valued only as long as they are viable for reproduction. Reissue.",1998,4.09,344,201 - 400
The Harlequin,Laurell K. Hamilton,Fiction,"From the #1 ""New York Times""-bestselling author comes this latest Anita Blake novel in which the vampire hunter faces the challenge of her life.",2007,3.91,422,401 - 600
The Harry Bosch Novels,Michael Connelly,Fiction,"For the first time in one volume, the three novels that introduced Michael Connelly's great LAPD homicide detective, maverick Hieronymous (Harry) Bosch. The Black Echo (Winner of the Edgar Award for Best First Novel) For Harry Bosch-hero, loner, nighthawk-the body stuffed in a drainpipe off Mulholland Drive isn't just another statistic. This one is personal. Billy Meadows was a fellow Vietnam ""tunnel rat,"" fighting the VC and the fear they used to call the Black Echo. Harry let Meadows down once. He won't do it again. The Black Ice The corpse in the hotel room seems to be that of a missing LAPD narcotics officer. Rumors abound that the cop had crossed over-selling a new drug called Black Ice. Now Harry's making some dangerous connections, leading from the cop to a string of bloody murders, and from Hollywood Boulevard's drug bazaar to Mexico's dusty back alleys. In this lethal game, Harry is likely to be the next victim. The Concrete Blonde When Harry Bosch shot and killed Norman Church, the police were convinced it marked the end of the hunt for the Dollmaker-L.A.'s most bizarre serial killer. But now Church's widow is accusing Harry of killing the wrong man-a charge that rings terrifyingly true when a new victim is discovered with the Dollmaker's macabre signature. For the second time, Harry must hunt the murderer down, before he strikes again. Together, these three novels are the perfect way to discover, or rediscover, the sleuth the New York Times Book Review called a ""wonderful, old-fashioned hero who isn't afraid to walk through the flames.""",2001,4.34,794,601 - 800
The Heart of a Woman,Maya Angelou,Classics,"In the fourth volume of her autobiography, the author describes her experiences as a singer-dancer in New York and her impressions of the Civil Rights movement",1997,4.2,288,201 - 400
The Heart of the Matter,Graham Greene,Classics,An assistant police commissioner in a West African coastal town lets passion overrule his honor.,2004,3.99,272,201 - 400
The Heights of Courage,Avigdor Kahalani,History,"In October 1973, the State of Israel was invaded by Egyptian and Syrian forces. Despite early losses, Israel managed to outfight its opponents. The brief and bloody Yom Kippur War stands as a unique chapter in modern military history. Fought primarily by tank units, the war became a story not only of battle strategy and tactics, but also one of human discipline, endurance and sacrifice. Avigdor Kahalani was commander of a tank battalion on the Golan Heights during the Yom Kippur War, in The Heights of Courage he describes this experience. Beginning with a description of the initial Syrian offensive, the author recounts the personal endeavours of the men in his battalion, their fears and ambitions, as well as their emotional and physical hardships. His account traces the efforts of the Israel Armoured Corps as they struggled to overcome extreme difficulties and setbacks in the field, and he describes their ultimate penetration into enemy territory.",1992,4.18,234,201 - 400
The Heritage of Shannara,Terry Brooks,Fiction,"Collects the four novels of the ""Heritage of Shannara"" series--""The Scions of Shannara,"" ""The Druid of Shannara,"" ""The Elf Queen of Shannara,"" and ""The Talisman of Shannara""--into a single volume.",2003,4.28,1238,1000 +
The Hermit's Story,Rick Bass,Fiction,"Encompassing both previously published pieces and original fiction, this richly varied anthology of short stories by the author of Colter and Where the Sea Used to Be features the title story, about a man and woman who travel across a frozen lake under the ice, as well as ""The Distance,"" Eating,"" ""The Cave,"" and ""Real Town,"" among others. Reprint.",2003,4.12,192,<201
The Hero and the Crown,Robin McKinley,Fiction,"Aerin, with the guidance of the wizard Luthe and the help of the blue sword, wins the birthright due her as the daughter of the Damarian king and a witchwoman of the mysterious, demon-haunted North.",1998,4.21,227,201 - 400
The High Window,Raymond Chandler,Literary Fiction,"Philip Marlowe, a private detective, searches for a priceless gold coin Mrs. Murdock suspects was stolen by a member of her family",1988,4.08,265,201 - 400
"The Historical Atlas of New York City, Second Edition",Eric Homberger,History,"A richly illustrated reference chronicles the history of New York City, from early Native American culture to the present day, capturing the events, inhabitants, neighborhoods, ethnic diversity, and more in a collection of full-color maps, period photographs, drawings, charts, and concise essays. Original. 25,000 first printing.",2005,4.05,192,<201
The Histories,Herodotus,History,"Provides a new translation of the classic account of the wars between the Greek city-states and Persia, and of the culture of the peoples who took part",1998,3.98,772,601 - 800
The History of Love: A Novel,Nicole Krauss,Fiction,"Sixty years after a book's publication, its author remembers his lost love and missing son, while a teenage girl, named for one of the book's characters, seeks her namesake, as well as a cure for her widowed mother's loneliness. By the author of Man Walks Into a Room. Reader's Guide included. Reprint.",2006,3.92,255,201 - 400
The history of sexuality,Michel Foucault,Philosophy,"In this sequel to The History of Sexuality, Volume I: An Introduction, the brilliantly original French thinker who died in 1984 gives an analysis of how the ancient Greeks perceived sexuality. Throughout The Uses of Pleasure Foucault analyzes an irresistible array of ancient Greek texts on eroticism as he tries to answer basic questions: How in the West did sexual experience become a moral issue? And why were other appetites of the body, such as hunger, and collective concerns, such as civic duty, not subjected to the numberless rules and regulations and judgments that have defined, if not confined, sexual behavior?",1988,4.07,304,201 - 400
The History of the Lord of the Rings,J. R. R. Tolkien,Fantasy,"J.R.R. Tolkien's The Lord of the Rings, now firmly acknowledged as one of the most popular books of the twentieth century, has captivated generations of readers with its completely convincing fantasy. In The History of The Lord of the Rings, the author's son & literary heir, Christopher Tolkien, examines the creation of that epic from its inception to its finished form. At the core of these books are many early drafts & unpublished passages by Tolkien, which add greatly to a thorough understanding of his masterpiece. Combining his father's unique vision with his own privileged insight & editorial commentary, Christopher Tolkien's The History of The Lord of the Rings is a set of four volumes -- including one unique to this collection -- that no fan of The Lord of the Rings can afford to overlook. ""One marvels anew at the depth, breadth, & persistence of J.R.R. Tolkien's labor. No one sympathetic to his aims, the invention of a secondary universe, will want to miss this chance to be present at the creation."" -- Publishers Weekly.",2000,4.38,1680,1000 +
The History of the Siege of Lisbon,Jose Saramago,Literary Fiction,"Living the innocent life of a proofreader, Raimundo Silva changes a key word in a history text that leads him to romance and alters the course of European history",1998,3.8,314,201 - 400
The History of Tom Jones,Henry Fielding,Fiction,"Introduction and Notes by Doreen Roberts, Rutherford College, University of Kent at Canterbury. 'Tom Jones' is widely regarded as one of the first and most influential English novels. It is certainly the funniest. Tom Jones, the hero of the book, is introduced to the reader as the ward of a liberal Somerset squire. Tom is a generous but slightly wild and feckless country boy with a weakness for young women. Misfortune, followed by many spirited adventures as he travels to London to seek his fortune, teach him a sort of wisdom to go with his essential good-heartedness. This 'comic, epic poem in prose' will make the modern reader laugh as much as it did his forbears. Its biting satire finds an echo in today's society, for as Doris Lessing recently remarked ""This country becomes every day more like the eighteenth century, full of thieves and adventurers, rogues and a robust, unhypocritical savagery side-by-side with people lecturing others on morality"". AUTHOR: Henry Fielding (1707-1754) was an English novelist; building on the foundations put in place by Daniel Defoe and others, he was a major contributor to the form of the modern novel. He wrote four novels, of which the most enduring is 'The History of Tom Jones, a Foundling', widely regarded as among the finest books ever written.",1992,3.74,734,601 - 800
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,"Adams's beloved and enduring sci-fi/comedy classic is now available in this beautiful, clothbound, elegantly presented book, filled with never-before-published material, original scripts from the BBC radio series, and much more to please any fan.",2002,4.22,180,<201
The Hobbit / The Lord of the Rings,J. R. R. Tolkien,Fantasy,"Presents a box set including the complete ""Lord of the Rings"" trilogy, as well as its prequel, ""The Hobbit.""",2012,4.59,1728,1000 +
"The Hobbit, Or, There and Back Again",J. R. R. Tolkien,Fantasy,"The adventures of the well-to-do hobbit, Bilbo Baggins who lived happily in his comfortable house until a wandering wizard granted his wish.",1997,4.26,289,201 - 400
The Hollow,Agatha Christie,Mystery,"Lucy Angkatell Invited Hercule Poirot To Lunch. To Tease The Great Detective, Her Guests Stage A Mock Murder Beside The Swimming Pool. Unfortunately, The Victim Plays The Scene For Real. As His Blood Drips Into The Water, John Christow Gasps One Final Word: Henrietta . In The Confusion, A Gun Sinks To The Bottom Of The Pool. Poirot S Enquiries Reveal A Complex Web Of Romantic Attachments. It Seems Everyone In The Drama Is A Suspect And Each A Victim Of Love.",2002,3.79,384,201 - 400
The Honourable Schoolboy,John le Carre,Fiction,"Trying to rebuild his espionage organization after a traitor is unmasked, George Smiley sends one of his most trusted agents on a mission to the Far East.",2002,3.95,589,401 - 600
The Hotel New Hampshire,John Irving,Fiction,"Quirky, bizarre, tragic, fiendishly funny, The Hotel New Hampshire is anything but a conventional family saga, though a family saga it certainly is. The Berry family are different. Love abounds - both healthy and incestuous. It is the overwhelming",1986,3.9,520,401 - 600
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,Sir Charles Baskerville's sudden heart attack and death have the townspeople in shock and searching for the one to blame--the family dog--while Sherlock Holmes leads the investigation.,2001,4.1,256,201 - 400
The House of Mirth,Edith Wharton,Classics,"A satire of New York society at the turn of the century follows Lily Bart, who is torn between the pressure to marry a wealthy husband and the desire to be true to herself.",2002,3.95,272,201 - 400
The House of the Scorpion,Nancy Farmer,Fiction,"This modern classic takes on an iron-fisted drug lord, clones bred for their organs, and what it means to be human. Winner of the National Book Award as well as Newbery and Printz Honors. Matteo Alacrán was not born; he was harvested. His DNA came from El Patrón, lord of a country called Opium—a strip of poppy fields lying between the United States and what was once called Mexico. Matt’s first cell split and divided inside a petri dish. Then he was placed in the womb of a cow, where he continued the miraculous journey from embryo to fetus to baby. He is a boy now, but most consider him a monster—except for El Patrón. El Patrón loves Matt as he loves himself, because Matt is himself. As Matt struggles to understand his existence, he is threatened by a sinister cast of characters, including El Patrón’s power-hungry family, and he is surrounded by a dangerous army of bodyguards. Escape is the only chance Matt has to survive. But escape from the Alacrán Estate is no guarantee of freedom, because Matt is marked by his difference in ways he doesn’t even suspect.",2004,4.1,380,201 - 400
The House of the Spirits,Isabel Allende,Literary Fiction,"Traces the lives of the Truebas family, starting with clairvoyant Clara de Valle's summoning of the man she intends to marry, ambitious Esteban Trueba, and following their lives through which they suffer and triumph.",1986,4.22,433,401 - 600
The House That Jack Built,Graham Masterton,Fiction,"Craig Bellman is determined to live at Valhalla, a home in which every inhabitant has met with tragedy, and out of loyalty, his wife Effie agrees to move to the house, ignoring her intuitions, but as death returns to Valhalla, Craig becomes obsessed with the house. Original.",2000,3.87,385,201 - 400
